"351a3e4c:46506fca:1399e8bb:7b24e728";"US";"Retarder les opérations";"Delay operations"
"351b8904:4e5eb46e:13acaa8e:0b3c8973";"US";"Gerhard Graf VON SCHWERIN";"Gerhard Graf VON SCHWERIN"
"351e65fb:4319bc38:32cfebb8:4fe6036e";"US";"Nous allons menacer la frontière française, ce qui obligera Paris à redéployer ses armes nucléaires dans ce secteur.";"We're going to threaten the French border, which will force Paris to redeploy their conventional and nuclear weapons in this area."
"352f5662:4e901edf:72565f91:c37a2713";"US";"Scroll Lock";"Scroll Lock"
"353791a1:4d838352:d06db091:735cbba9";"US";"You've lost the surrounded units, sir! We were to slow to rally them. The more stressed a unit is, the less efficient it is on the battlefield.";"You've lost the surrounded units, sir! We were too slow to rally them. The more stressed a unit is, the less efficient it is on the battlefield."
"35385669:4511997a:9e59de92:d4fca4b9";"US";"J'ai besoin de la 22e Panzer.";"I need the 22nd Panzer Division."
"3540b42a:424ce870:e808c294:1f6a8057";"US";"The Desert Fox had placed his old 21. Panzer Division, the Heroes of the Afrika Korps, on alert,";"The Desert Fox had placed his old 21. Panzer Division, the Heroes of the Afrika Korps, on alert,"
"3540f572:45fbfeba:54c8b3a9:4a5bd463";"US";"NAME";"NAME"
"355a03d4:41d9e067:05a04095:fe205d8e";"US";"Airborne";"Airborne"
"355e6c0f:4576557a:3482db84:eabefa16";"US";"Le porte-avions Amiral Kouznetsov a pris position en Mer de Barents. Le potentiel aérien ennemi en sera renforcé.";"The aircraft carrier Admiral Kuznetsov has taken up a position in the Barents Sea, which will strengthen the enemy's power in the air."
"3564c2b6:488045af:c6c690bf:6a4b1eca";"US";"Assault on Colombelles Steelwork (Allied attack) #1vs1";"Assault on Colombelles Steelworks (Allied attack) #1vs1"
"35721566:44443034:0a6c979f:a049c39a";"US";"Enemy dense defence emplacement.";"Enemy dense defence emplacement."
"357d4bde:45012a2d:1b1f1982:24f5c3dc";"US";"Kills in team";"Kills in team"
"3588c53b:4f3039c6:c381e0ac:6c43c1b6";"US";"Elite";"Elite"
"35894472:4e433803:888357a7:d8bcf60d";"US";"DELETE";"DELETE"
"358f6e81:4a8eeb3f:5937e796:e57b68fb";"US";"With only a few light vehicles and a weak economy in Phase A, Lehr has to be patient.\nIt starts to improve in Phase B, yet still with a wanting economy.\nPhase C, on the other hand, opens the floodgates of the German arsenal, with all the heaviest and latest vehicles, backed by a very good economy.";"With only a few light vehicles and a weak economy in Phase A, Lehr has to be patient.\nIt starts to improve in Phase B, yet still with a wanting economy.\nPhase C, on the other hand, opens the floodgates of the German arsenal, with all the heaviest and latest vehicles, backed by a very good economy."
"35bc8c8f:4d60d5a6:464f5693:289f54ce";"US";"June 21st, 1987. With US troops still confined to their barracks and the ROK Army deployed in the streets, North Korean Leader Kim Il-Sung decides the time has come for Korea’s reunification …";"June 21st, 1987. With US troops still confined to their barracks and the ROK Army deployed in the streets, North Korean Leader Kim Il-Sung decides the time has come for Korea’s reunification …"
"35c4b940:44228475:c95ff888:8ad2ec11";"US";"Surrendering will disband your battlegroups.";"Surrendering will disband your battlegroups."
"35c67ef6:4a4feb22:a75d68bb:2825aa9e";"US";"CHANNELS";"CHANNELS"
"35d514c1:4e860107:199db0a0:7474f19a";"US";"Enemy identified! It is a PANZER IV G #epziv!";"Enemy identified! It is a PANZER IV G #epziv!"
"35d87f13:4322d782:8540138b:0a301af3";"US";"To use an ARTILLERY unit you need to manually use the #coloredtext4{FIRE ON POSITION} #fireposition order (Short-key #inputt) and point it at that house. Or RIGHT CLICK #mouserightclick on the target #emg42, if seen, to directly try to kill this unit.\nThe curved shot #art does not take care of ground obstacles.";"To use an ARTILLERY unit you need to manually use the #coloredtext4{FIRE ON POSITION} #fireposition order (Short-key #inputt) and point it at that house. Or RIGHT CLICK #mouserightclick on the target #emg42, if seen, to directly try to kill this unit.\nThe curved shot #art does not take care of ground obstacles."
"35dd0f76:4083bee6:27954a98:33524d84";"US";"Profile requested";"Profile requested"
"35eb20f2:446772f0:f19e4895:6ebd3da6";"US";"Les USA s'abandonnent totalement à leur paranoïa: ils semblent persuadés que les camarades cubains sont de taille à les envahir, et cette perspective seule plonge la Floride dans le chaos.";"The USA are completely giving in to their paranoia.\n\nThey seem to believe that our Cuban comrades can actually invade them, and this mere idea is enough to plunge Florida into chaos."
"361079f8:4af3eec6:b0a03ab5:02c9d922";"US";"British & Canadian infantry divisions have fallen back around Lion-sur-Mer for a last stand.";"British & Canadian infantry divisions have fallen back around Lion-sur-Mer for a last stand."
"361b71c7:4e73f559:46a93f98:adcc84ca";"US";"This is the last push, Herr Major. The men are eager to fight.";"This is the last push, Herr Major. The men are eager to fight."
"36272b04:4862d8b3:fcdb049a:63a66015";"US";"Boot Camp, April 13th, 1944";"Boot Camp, April 13th, 1944"
"36303b68:424dc786:908d58b5:97797386";"US";"AIRBORNE DIVISION";"AIRBORNE DIVISION"
"3645c777:4d539fb8:f43e689b:fa1e8533";"US";"Elapsed time";"Elapsed time"
"364a728e:45639029:fb8bb6a2:125ff994";"US";"Copenhague est prise !";"Copenhagen has been captured!"
"3656fea2:4add7f9c:d2942490:ea1c3ba9";"US";"In FALL BACK stance #pabriflefb, the squad will automatically run back to a safe position.\nDuring that time, it's impossible for you to give any other order.";"In FALL BACK stance #pabriflefb, the squad will automatically run back to a safe position.\nDuring that time, it's impossible for you to give any other order."
"36708984:43e7c305:d03a5e95:d5289965";"US";"Le temps s'améliore sur l'Atlantique Nord. C'était une fausse alerte.";"Weather conditions over the North Atlantic are improving.\n\nIt was a false alarm."
"3699fdd4:4650d7c4:1c3f3eb2:93c039d5";"US";"The price given is the passengers cost only.";"The price given is the cost of the dismounted unit only."
"36d0d265:446d654f:69bab3ae:daf2cd2a";"US";"We've lost contact with several patrols on our right flank, Major. Something smells fishy here…";"We've lost contact with several patrols on our right flank, Major. Something smells fishy here…"
"36df8f66:45c43850:c42c2395:00af7447";"US";"Spot %s enemy positions";"Spot %s enemy positions"
"36e6c988:4a940d8c:ac235ca2:91b624f5";"US";"Une forte tempête s'abat sur l'Atlantique nord. Devons-nous retarder les opérations aériennes et navales le temps que ça se calme ?";"A fierce storm is raging over the North Atlantic\n\nShould we delay aerial and naval operations until weather conditions improve?"
"36efc00d:49fc267d:dc63d09f:baaff725";"US";"Total disponibility";"Total availability"
"3713859a:496511d1:0814ed80:d453ce38";"US";"Allows you to spend your requisition points to call in new units as reinforcements.";"Allows you to spend your requisition points to call in new units as reinforcements."
"371c3031:4910a818:bec1dd9d:7cca4b8c";"US";"Our orders are to move back on the Western bank,";"Our orders are to move back on the Western bank,"
"37271cdc:4b2ce6e1:c8323eaa:f571f132";"US";"L'OTAN perdra 1 frappe nucléaire s'il en possède une.";"NATO will lose 1 nuclear strike if they have one, as well as 2 air raids and 2 commandos raids."
"373748e7:4a78a819:0a17c3ae:87c435ba";"US";"Streaming Producer";"Streaming Producer"
"3739689f:4d2db8f2:a569338b:3829f45f";"US";"The RETURN FIRE order commands a unit not to engage an enemy, unless under fire themselves.";"The RETURN FIRE order commands a unit not to engage an enemy, unless under fire themselves."
"3742142b:4a0b0069:e0f61293:bce236e5";"US";"You can identify each one individually and check their feats of arms in the after-action briefing.";"You can identify each one individually and check their feats of arms in the after-action briefing."
"3742deee:4d81bc2f:4ff0db82:6c82011c";"US";"Enemy reconnaissance force in approach.";"Enemy reconnaissance force in approach."
"3752f83e:4e657be7:57786dbf:fa448351";"US";"This plane carries between 250 & 500kg of bombs.";"This plane carries between 250 & 500kg of bombs."
"375c6c2d:4d683bc1:106a56a8:403c643f";"US";"More troubling are the many reports of Anglo-Canadian paratroopers being dropped during the night, East of the Orne river.";"More troubling are the many reports of Anglo-Canadian paratroopers being dropped during the night, East of the Orne river."
"377ca95f:48353284:2d2ee594:813cd3cb";"US";"to CAEN";"to CAEN"
"379df4a3:4ec2b64a:a055e58e:167b2b57";"US";"Connexion too weak orshared between too many users ; network disruption ; …";"Connection too weak or shared between too many users; network disruption; ..."
"37aa6f5c:44efd426:589b05b6:9e22e3cc";"US";"Conquest Mode";"Conquest Mode"
"37aed71c:42bf87c4:32036a8a:c8dc1fe6";"US";"The battle stopped because the ennemy losses %1pts have exceeded their sustainable losses %2pts.";"The battle stopped because the enemy losses (%1pts) have exceeded their sustainable losses (%2pts)."
"37b89b1a:48193e98:8ec1519a:1ee7a931";"US";"\n Major Warren,\n\n Panzer-Ersatz-Abteilung 100 has been located near the village of Baupte. It seems its old tanks are slowing its retreat, which gives us the opportunity to trap it between your battalion and elements from the 101st Airborne coming the opposite way!\n\n Your orders are to link with the 506th, from 101st Airborne, thus trapping as many German troops as possible between you.\n\n As a secondary objective, try to get in contact with the local Resistance: they seem a bit over-eager to get to grips with the retreating occupier, and could be of some help if you are able to channel their zeal.\n\n--------------\nMAIN OBJECTIVE\nDefeat the Germans.";"\n Major Warren,\n\n Panzer-Ersatz-Abteilung 100 has been located near the village of Baupte. It seems its old tanks are slowing its retreat, which gives us the opportunity to trap it between your battalion and elements from the 101st Airborne coming the opposite way!\n\n Your orders are to link with the 506th, from 101st Airborne, thus trapping as many German troops as possible between you.\n\n As a secondary objective, try to get in contact with the local Resistance: they seem a bit over-eager to get to grips with the retreating occupier, and could be of some help if you are able to channel their zeal.\n\n--------------\nMAIN OBJECTIVE\nDefeat the Germans."
"37b9f70f:4f8b5abc:f95f8989:ea9a9ad6";"US";"ALLIES";"ALLIES"
"37bd38ed:42de54ee:a0fa4db9:1154deca";"US";"The result of an auto-resolved battle depends on the morale, cohesion and value of the units of the battlegroups involved. Armored and air superiority make a significant impact on the end result.";"The result of an auto-resolved battle depends on the morale, cohesion and value of the units in the battlegroups involved. Armor and air superiority have a significant impact on the end result."
"37be8c99:46767242:d3e9b192:b40ddc0d";"US";"OFF-MAP ASSETS";"OFF-MAP ASSETS"
"37c485cb:4ee38bce:dfb2adb1:eae73758";"US";"Crossing the Merderet (Axis attack)";"Crossing the Merderet (Axis attack)"
"37d9a8cc:4c373566:c6fbedbb:1e0dca48";"US";"Make good use of what you've learnt so far, and #coloredtext5{INSPECT THE FARM} area with your AB RIFLES #pabrifle squad section.";"Make good use of what you've learnt so far, and #coloredtext5{INSPECT THE FARM} area with your AB RIFLES #pabrifle squad section."
"37db55a0:4f71f6c5:fc4547aa:a7e903d3";"US";"Change Password";"Change Password"
"37f46e7b:4f9eb519:079280a4:e7b7356e";"US";"Saisir le Conseil de Sécurité";"Call on the Security Council"
"37f617af:45348297:6b785092:3a2817fb";"US";"but all our attempts so far have failed.";"but all our attempts so far have failed."
"37f937cb:4e04ba31:e389e1ae:49aef383";"US";"A stern and practical officer, Robertson honed his division's skills through intensive training before D-Day.";"A stern and practical officer, Robertson honed his division's skills through intensive training before D-Day."
"38188dd0:4a84eb5e:858410b7:7d202257";"US";"Flamethrower\nCan fire on the move.\nDeals terrible damages to unprotected units, as well as a lot of suppression. ";"Flamethrower\nCan fire on the move.\nDeals terrible damages to unprotected units, as well as a lot of suppression."
"382aa64c:428a1ce0:5f821388:6c9df8fc";"US";"Unload the AB Mortar 60mm and shellfire on the s.MG 42 position.";"Unload the AB Mortar 60mm and shellfire on the s.MG 42 position."
"382ecd58:4b5ff8c7:d79e13b2:6cf3bf8e";"US";"Always remember to keep your units supplied with ammunitions, especially heavy-use artillery units.";"Always remember to keep your units supplied with ammunitions, especially heavy-use artillery units."
"383a1c81:455ad3dd:0aa984b7:95ad1c90";"US";"Confirm e-mail";"Confirm e-mail"
"385cdd26:43e97d4d:a78e82a5:5c536e00";"US";"Simon Fraser, 15th Lord Lovat, Scottish peer of the kingdom, was an Oxford graduate and a young reserve army captain when he was recalled in service in 1939. Posted in his clan's own regiment, the Lovat Scouts, he requested in 1940 a transfer to the newly created commandos. Attached to 4 Commando, he took part in the Lofoten (Norway) and Hardelot (France) raids. During the failed Dieppe landing, in 1942, now commanding 4 Commando, his unit was among the few to complete its objectives, then managed to reembark most of its men. When the 1st Special Service Brigade (aka Commando Brigade, for the commandos hated the SS acronym) was formed in 1944, Lord Lovat was appointed as its brigadier. Although coming in the second wave at Sword Beach, Lovat's commandos soon encountered tough resistance when penetrating inland to secure their objectives. Lovat famously landed with his piper Bill Millin playing the bagpipes against army regulations, for Lovat was of the opinion that the latter didn't applied to them Scotsmen ! Later in the day, Lovat and his men managed to reach Pegasus Bridge, two hours and half late on schedule for which Lord Lovat apologized. Six days later, he was seriously wounded by friendly artillery fire, ending the war for him.";"Simon Fraser, 15th Lord Lovat, Scottish peer of the kingdom, was an Oxford graduate and a young reserve army captain when he was recalled in service in 1939. Posted in his clan's own regiment, the Lovat Scouts, he requested in 1940 a transfer to the newly created commandos. Attached to 4 Commando, he took part in the Lofoten (Norway) and Hardelot (France) raids. During the failed Dieppe landing, in 1942, now commanding 4 Commando, his unit was among the few to complete its objectives, then managed to reembark most of its men. When the 1st Special Service Brigade (aka Commando Brigade, for the commandos hated the SS acronym) was formed in 1944, Lord Lovat was appointed as its brigadier. Although coming in the second wave at Sword Beach, Lovat's commandos soon encountered tough resistance when penetrating inland to secure their objectives. Lovat famously landed with his piper Bill Millin playing the bagpipes against army regulations, for Lovat was of the opinion that the latter didn't applied to them Scotsmen ! Later in the day, Lovat and his men managed to reach Pegasus Bridge, two minutes and half late on schedule for which Lord Lovat apologized. Six days later, he was seriously wounded by friendly artillery fire, ending the war for him."
"386d41a3:46cfb622:712b8fbc:9683648e";"US";"SMOKE";"SMOKE"
"3871f60f:4342c6a3:3750ab8f:35d2e165";"US";"Allows you to hide/display the unit's visual.";"Allows you to hide/display the unit's visual."
"387285c0:45fa46bb:25e3baa5:d15bb7b3";"US";"Destruction points before defeat :";"Destruction points before defeat:"
"387e412d:414e99dd:18294a9f:5270e3ac";"US";"L'Armée populaire de Corée est parvenue à prendre Séoul mais au prix de pertes qu'elle aura du mal à compenser. Son offensive risque de s'essouffler si elle ne reçoit pas de soutien.";"The Korean People's Army managed to take Seoul, but they sustained losses that they will find hard to claw back.\n\nTheir offensive is likely to run out of steam if they don't receive any support."
"3880e51f:4c332db3:99832e90:d7e05355";"US";"Please wait ...";"Please wait ..."
"38816abf:47003b89:c0132992:e517189a";"US";"Anti-aircraft units";"Anti-aircraft units"
"3885b18d:440df1ef:9f57d98f:6c55b511";"US";"Envoyer du soutien";"Send support"
"3888acb8:4d6ee51c:a633c589:a0890165";"US";"Les provocations de nos camarades nord-coréens semblent porter leurs fruits: nos agents à Washington nous informe que le Pentagone envisagerait d'y affecter des troupes initialement destinées à la Norvège.";"Provocation from our North Korean comrades appears to be paying off: our agents in Washington inform us that the Pentagon was planning to send troops there that were initially destined for Norway."
"38be8019:41d1b178:7775c79c:efcddf4b";"US";"and if we can, to give the partisans some assistance.";"and if we can, to give the partisans some assistance."
"38d56dc1:463eb200:48df8aac:51b98ec6";"US";"To %1";"To %1"
"38e338cd:4482542c:2ea2d6b0:6646cdd7";"US";"Escadrille de chasseurs Sea Harrier, spécialisés dans la supériorité aérienne. Ils assureront une couverture correcte de votre espace aérien";"Sea Harrier fighter squadron specialized in air superiority. Will ensure correct cover of your airspace."
"390b527c:47e19ae8:067f75b7:210ddd81";"US";"Retard au déploiement des groupes de combat britanniques.";"Delay in deploying British combat groups."
"390f121d:40dd4fad:de00d4a1:d89cd86a";"US";"NATIONS";"NATIONS"
"39147f16:425836a0:898bb9a6:e2cbe95e";"US";"IN THE ROOM";"IN THE ROOM"
"391a06b1:4377317a:538bb79c:49726106";"US";"What are your orders ?";"What are your orders?"
"3933e978:41ded6d4:23b86aac:5ee164ce";"US";"Go to your profile";"Go to your profile"
"39377532:4620af97:96d098bf:45bec9cc";"US";"Worried";"Worried"
"394406bf:4188e497:c3a5ef8a:152f356b";"US";"Turret / guns jammed";"Weapons jammed"
"3947951c:47eee421:8714f2b1:85a49386";"US";"Coup de force au Kremlin !";"Coup at the Kremlin!"
"394958fe:4f7db201:f624eb8d:551406ec";"US";"Automne Rouge";"Red Autumn"
"394c11e4:46b4cb43:28c3c8b7:4e65b996";"US";"La victoire à portée de main";"Victory is near"
"39554a1d:427f8528:e0d8c9b2:5426b68e";"US";"If we still have any remaining obsolete Somuas, they might prove useful in Phase A if we can get them through, while Panzer IV can hold the corridor open.";"If we still have any remaining obsolete Somuas, they might prove useful in Phase A if we can get them through, while Panzer IV can hold the corridor open."
"3959f3c9:408050b8:a775b4a8:563bbcc9";"US";"QA Specialists";"QA Specialists"
"3961f7ac:4cf4fc14:5d4eef86:22b31729";"US";"1 bombardement aérien et 1 couverture aérienne supplémentaires disponibles.";"1 more air raid and 1 more aerial cover available."
"3962127d:4a90ba4c:ab267197:ad9a8e37";"US";"One unit's pack slots is available in the unlocked RECON classes.";"One unit's pack slot is available in the unlocked RECON classes."
"397063fd:42037256:918bb894:d852a5b8";"US";"Ranked XP";"Ranked XP"
"39853ae2:49fddc1c:15a0dc9e:abbfa3a9";"US";"our boys set foot behind enemy lines in Normandy.";"our boys set foot behind enemy lines in Normandy."
"398ec760:42d1f33c:b5ea9f92:480c04e0";"US";"but much further South than planned!";"but much further South than planned!"
"39b0b69c:41ee2e3b:2393d0b1:56b9bc13";"US";"Laisser le Politburo décider";"Let the Politburo decide"
"39b160ac:4ca141c7:b1b362b5:3610b48f";"US";"APPLY";"APPLY"
"39bdab44:4fc0e876:3e3a4b92:9b4b51ac";"US";"Affects the amount and detail of special effects.";"Affects the amount and detail of special effects."
"39be1ce9:4d478754:b677e1ad:1de62f7e";"US";"Nos sous-marins ont réussi à approcher et engager la flotte de surface de l'OTAN , lui causant des pertes sensibles.";"Our submarines have managed to approach and engage the NATO surface fleet, inflicting substantial losses."
"39d390f5:444d9a69:21346093:16a51073";"US";"Page Down";"Page Down"
"39d67e64:416dd0f9:18519a89:1cbcb03f";"US";"REFIT";"REFIT"
"39da2c18:41ffd4e1:b271b4a8:65877e69";"US";"L'OTAN entre dans Copenhague";"NATO takes Copenhagen"
"39eada22:40d0f88b:28451087:6a15e374";"US";"German reinforcements are coming from the South!";"German reinforcements are coming from the South!"
"39f19fbf:45305bb7:0c3bfe95:7f6ac2f1";"US";"As you can see, a new pack of INFANTRY, the #coloredtext4{AB LEADER}, is available.";"As you can see, a new pack of INFANTRY, the #coloredtext4{AB LEADER}, is available."
"39f41981:4134660b:b41f62a1:d1b421d6";"US";"The enemy 88 have been destroyed! Airstrike on its way!";"The enemy 88 have been destroyed! Airstrike on its way!"
"39f5f2fd:416b8706:3b2cd084:5b17cd61";"US";"Web Developer";"Web Developer"
"39fae914:4931aa36:9099b382:59984ba9";"US";"Click NEXT to compose your BATTLEGROUP.";"Click NEXT to compose your BATTLEGROUP."
"3a02f59e:42c454df:43c6b099:bbf7f30d";"US";"Very small";"Very small"
"3a05832a:483ddc58:f4a7baa4:013d9e3f";"US";"A member of LAH from its creation to the end of his carreer, Wisch rose to command the division as one of the Waffen-SS' most decorated officer.";"A member of LAH from its creation to the end of his career, Wisch rose to command the division as one of the Waffen-SS' most decorated officers."
"3a0a8a72:44d7fbf6:d44948a3:6c275d93";"US";"BACK";"BACK"
"3a0fe0f3:422ab95e:c07f14b2:220a2e7e";"US";"2. Panzer is the « old breed » of the Panzerwaffe, one of the oldest and longest serving German armored division, having taken part in every campaign in Europe since 1939. One of Germany's most experienced division, it was regarded by Allied planners as one of the most dangerous single unit on the Western front.";"2. Panzer is the « old breed » of the Panzerwaffe, one of the oldest and longest serving German armoured divisions, having taken part in every campaign in Europe since 1939. One of Germany's most experienced divisions, it was regarded by Allied planners as one of the most dangerous single units on the Western front."
"3a1c69af:4dc1ca0c:1e5ba68d:006d89a0";"US";"Tutorial 1: Deployment & Manoeuver";"Tutorial 1: Deployment & Manoeuver"
"3a2ca4c6:4e2c3387:26cbe385:1aaaf95b";"US";"Order airplanes to evacuate to the airbase. Cannot be cancelled.";"Order airplanes to evacuate to the airbase.\n\nCannot be cancelled."
"3a31ab07:484423d5:dbe9de80:a9b2c66b";"US";"they’ve even detached a small armoured squadron under your command";"they’ve even detached a small armoured squadron under your command"
"3a3681f7:45c60415:0cca7eae:cc6ee10f";"US";"Il est indispensable de prendre Aarhus ! Pour atteindre cet objectif, le Kremlin vous autorise à faire usage d'armes nucléaires tactiques. Sélectionnez une frappe dans le menu de déploiement et ciblez un secteur ennemi. Le groupe de combat qui s'y trouve verra son moral et son initiative s'effondrer et il sera immobilisé. Il ne vous restera plus qu'à finir le travail.";"Taking Aarhus is absolutely crucial!\n\nTo attain this objective, the Kremlin allows you to use tactical nuclear weapons.\n\n#styleGreen{Select a strike from the deployment menu and target an enemy sector.}\n\nThe combat group located in that sector will dramatically lose morale and initiative, and will be immobilised. All you will have to do is finish it off."
"3a3d459f:43db7401:c65f128b:8a4456ed";"US";"La 1e Armée tchèque bouscule le VIIe corps US et avance en Bavière.";"The 1st Czech Army is challenging the US 7th Corps and is advancing into Bavaria."
"3a552509:419906ff:2df366a4:9230705c";"US";"Control the camera using the #inputw #inputa #inputs #inputd. Direct it using the #arrowtop #arrowleft #arrowbottom #arrowright. Rotate it by pressing the MIDDLE MOUSE #mousemiddle button and SCROLL WHEEL #mousescrollwheel to zoom in and out. Zoom on a unit tag #ptransport to trigger the Follow camera.";"Control the camera using the #inputw #inputa #inputs #inputd. Direct it using the #arrowtop #arrowleft #arrowbottom #arrowright. Rotate it by pressing the MIDDLE MOUSE #mousemiddle button and SCROLL WHEEL #mousescrollwheel to zoom in and out. Zoom on a unit tag #ptransport to trigger the Follow camera."
"3a5f3e64:44142c11:3ea53682:f49cf0e0";"US";"Army intelligence has warned us that at least one #coloredtext5{ENEMY} unit is holding the farm sector.";"Army intelligence has warned us that at least one #coloredtext5{ENEMY} unit is holding the farm sector."
"3a6fb3ce:405d3ca9:d602dbb1:0e9ebf61";"US";"Accident en mer Baltique Nous avons perdu une unité qui était de sortie malgré le mauvais temps.";"Incident in the Baltic Sea. \nWe have lost a unit that went out despite the bad weather."
"3a776298:4228b49f:0ab2b290:a8d1a3cb";"US";"Stockholm est perdue";"Stockholm is lost"
"3a9a3e27:4d6754dd:0332aa82:1cbbdc3b";"US";"#CHI #NK RED DRAGONS";"#CHI #NK RED DRAGONS"
"3aa75bc1:4d692982:abe31e9a:17e4abf3";"US";"La Chine vient de déclarer la guerre à l'URSS! Les Soviétiques vont devoir étirer leurs forces pour pouvoir se battre sur deux fronts.";"China has just declared war on the USSR!\n\nThe Soviets will have to spread their forces very thinly to fight on two fronts."
"3aa7d899:422db75c:3a0ba6ac:9725dc14";"US";"HEAVY BTY. (203mm)";"HEAVY BTY. (203mm)"
"3ae2acad:49cee0c0:607966be:fcbd1cbb";"US";"Nous avons perdu le contrôle de la capitale norvégienne, c'est une défaite retentissante. Le moral de l'ennemi augmente de 75 points, à moins que nous ne parvenions à lui reprendre.";"We have lost control of the Norwegian capital.\n\nThis is a major defeat.\n\nThe enemy will gain 75 morale points unless we manage recapturing the target."
"3ae6081b:4068e539:df82999d:38683e63";"US";"All extra convoy units saved will be added to your battlegroup for the next battle.\n#coloredtext3{%s} units saved.";"All extra convoy units saved will be added to your battlegroup for the next battle.\n#coloredtext3{%s} units saved."
"3ae74f30:4a338fee:3271a6b0:a693deae";"US";"Engines are running, Herr Major. What are your orders?";"Engines are running, Herr Major. What are your orders?"
"3ae75a0b:4fb300dc:c45f42ba:b28863db";"US";"E-MAIL SENT";"E-MAIL SENT"
"3afd0481:4706a69f:d9b9fda1:fee1071d";"US";"Rally Point";"Rally Point"
"3b19f706:464cbcbc:76c1209f:5a967e45";"US";"Les opérations se poursuivent, mais il y a un risque important de perdre des moyens aériens ou navals.";"Operations are continuing, but there is a significant risk of losing air or naval means."
"3b1afcc8:42db705b:0bba5c8e:565c712d";"US";"A pinned down squad will retreat from the enemy (30s).";"A pinned down squad will retreat from the enemy (30s)."
"3b1f6b9d:42eb6be7:5a47ea9b:e97a0c60";"US";"Gain de 20 points politiques.";"20 political points earned."
"3b1fe900:42c25c47:787657ac:9f7cdfaf";"US";"It is planned for 12. SS-Panzer to supply us with some anti-aircraft units once at Lion-sur-Mer. We can use our present ones to secure the corridor against enemy infantry and aircraft.";"It is planned for 12. SS-Panzer to supply us with some anti-aircraft units once at Lion-sur-Mer. We can use our present ones to secure the corridor against enemy infantry and aircraft."
"3b21fc8a:4697dd7e:bd8e75a9:205d4021";"US";"The «Baby Division», as we used to call it, mockingly;";"The «Baby Division», as we used to call it, mockingly;"
"3b32ca75:4b2da51a:c5cf8faa:8a0f00cf";"US";"Choose the type of victory";"Choose the type of victory"
"3b368e60:46ef0e92:b5a5b68a:ce5fc45f";"US";;
"3b38a625:4533c134:7a7c00b6:9f5cdeee";"US";"Nous n'avons pas réussi à tenir à la capitale norvégienne. Cet échec vous fait perdre les 75 points de moral gagnés initialement.";"We did not manage to keep hold of the Norwegian capital.\n\nThis defeat causes you to lose the 75 morale points that you had initially gained."
"3b41da70:4fd711a6:5d4e688a:4d4794fd";"US";"The British are breaking through, mein Herr. If we don't stop them now, we won't be able to retake the bridge later.";"The British are breaking through, mein Herr. If we don't stop them now, we won't be able to retake the bridge later."
"3b555d38:45aabf62:b65487a8:218da7e6";"US";"WEAPONS";"WEAPONS"
"3b624d77:4f78455c:45f0bca4:245d692b";"US";"but they are supported by heavy guns.";"but they are supported by heavy guns."
"3b78c5e1:4fbd7534:efaf7795:5aa353a4";"US";"Enemy isolated PAK 43 emplacement.";"Enemy isolated PAK 43 emplacement."
"3b93a79a:4b0b1189:9547c989:89d70401";"US";"Nous sommes parvenus à déloger les troupes du Pacte du port de Stavanger. L'ennemi perd ainsi les 100 points de moral qu'il avait gagnés.";"We managed ousting the Pact troops from the port of Stavanger.\n\nThe enemy thus loses the 100 morale points that it had gained."
"3ba03534:46a06385:5b5966bf:38bab634";"US";"Lancer l'offensive";"Launch the offensive"
"3bb2df01:47359704:7e6c9d9f:55c3ea52";"US";"MAP";"MAP"
"3bc21752:43caae51:b29216ac:dbb3f4e2";"US";;
"3bd11a7a:4b85d5c1:1c31afa2:d14d2344";"US";"Panique en Floride";"Panic in Florida"
"3be90594:444d86bb:5d1b0194:9749b654";"US";"Spread";"Spread"
"3becd9a5:41491099:e0f8c890:25c96198";"US";"The latter will have a dual role: they will both strengthen nearby units AND be very useful with their PIAT against enemy tanks in the city. Make sure that these officers accompany each of your infantry groups.";"The latter will have a dual role: they will both strengthen nearby units AND be very useful with their PIAT against enemy tanks in the city. Make sure that these officers accompany each of your infantry groups."
"3c0b740a:42cfc672:b80048b6:8fd49b60";"US";"Des grèves et des actions de sabotages d'agents communistes gênent le déploiement de la Force d'Action rapide. Quelle Attitude préconniser ?";"Strikes and acts of sabotage by communist agents are hampering the deployment of the Rapid Action Force.\n\nWhat stance should you take?"
"3c18bf41:48f00114:5af63081:44b127f0";"US";"MajG";"MajG"
"3c256e0e:4cafa376:1f424194:f086ff67";"US";"FALLING BACK!";"FALLING BACK!"
"3c349782:443acdef:e2c476b6:9b4ece85";"US";"VERY FAST";"VERY FAST"
"3c56b360:48f5a4b3:a93821b2:74c9ec16";"US";" During this exercise, you’ll have to deal with an unknown situation\nand you are being granted access to the ARTILLERY and SUPPORT classes.";" During this exercise, you’ll have to deal with an unknown situation\nand you are being granted access to the ARTILLERY and SUPPORT classes."
"3c6e5117:4c81b9e1:2a7cbaad:fcfe1694";"US";"Les opérations se poursuivent, mais il y a un risque important de perdre des moyens aériens ou navals.";"Operations are continuing, but there is a significant risk of losing air or naval means."
"3c7db2a5:4a124c21:b0454aa7:aee4aac4";"US";"ANTI-AIR";"ANTI-AIR"
