"TOKEN";"COMMENT";"DO NOT TRANSLATE";CONSTRAINT;"REFTEXT";"CLASSEMENT";"ExisteDansSlayer"
"OLB_ADDFDT";"       ";"-J--j";;"フレンドリストに追加";"ADD FRIEND";
"OLB_BTFDNB";"       ";"-J--j";;"これから戦う戦場マップを選択せよ.";"Choose the map on which your game will be fought.";
"OLB_BTFDNE";"       ";"-J-pj";;"名称横の星の数は難易度です.";"Stars next to a campaign's name indicate its difficulty.";
"OLB_BTFDNT";"       ";"-J--j";;"マップ";"MAP";
"OLB_BTFDSB";"       ";"-J--j";;"プレイヤー数を考慮して,マップの大きさを選択せよ.";"Choose the size of the map depending on the number of players.";
"OLB_BTFDST";"       ";"-J--j";;"大きさ";"SIZE";
"OLB_DECKSB";"       ";"-J--j";;"クリックすると戦闘群リストを開きます.";"Click to open your BATTLEGROUP LIST.";
"OLB_DECKSE";"       ";"-J--j";;"戦闘群リストを開いてもロビーからは切断されません.";"Visiting your BATTLEGROUP LIST won't disconnect you from this lobby.";
"OLB_DECKST";"       ";"-J--j";;"戦闘群リストを開く";"OPEN BATTLEGROUP LIST";
"OLB_DIFFIB";"       ";"-J--j";;"シナリオ難易度を設定";"Set the difficulty of this scenario";
"OLB_DIFFIT";"       ";"-J---";;"難易度";"DIFFICULTY";
"OLB_DOWNB";"        ";"-J--j";;"DLC購入 Steamストアを開く.";"Open Steam store to purchase the DLC.";
"OLB_DOWNT";"        ";"-J--j";;"ダウンロード";"DOWNLOAD";
"OLB_GMMODB";"       ";"-J-pj";;"勝利条件(クローズコンバット,コンクエスト,デストラクション)を選択せよ.";"Choose the victory mode (CLOSER COMBAT, CONQUEST or DESTRUCTION) for your game.";
"OLB_GMMODE";"       ";"-J--j";;"クローズコンバット,コンクエストは,敵よりも多くの地域を支配下に置けば勝利ポイントが得られます.\nデストラクションは,敵よりも多くのユニットを破壊すれば勝利ポイントが得られます.";"In CONQUEST and CLOSER COMBAT, you earn Victory Points by controlling more ground than your opponent.\nIn DESTRUCTION, you earn Victory Points by destroying more enemy units than your opponent.";
"OLB_GMMODT";"       ";"-J--j";;"ゲームモード";"GAME MODE";
"OLB_INCRTB";"       ";"-J--j";;"ゲーム開始後の,ゲーム中に入ってくる徴発ポイントのレートをセットします.\nデフォルト設定は「並」です.";"Set the rate of the Requisition Point income in-game, once the game is launched.\nDefault setting is MEDIUM.";
"OLB_INCRTE";"       ";"-J--j";;"「最低」は通常の半分です\n「低」は通常の75%\n「高」は通常の125%\n「最高」は通常の150％です.";"VERY LOW means Requisition Point rate is x0.5 the default one.\nLOW is x0.75 the default one.\nHIGH is x1.25 the default one.\nVERY HIGH is x1.5 the default one.";
"OLB_INCRTT";"       ";"-J--j";;"徴発ポイントレート";"INCOME RATE";
"OLB_INVITB";"       ";"-J--j";;"フレンドリストのフレンドを選択しクリックすると,ゲームに招待します.";"Click to select a friend in your friend list and send them an invitation to join this game.";
"OLB_INVITT";"       ";"-J--j";;"フレンドを招待";"INVITE A FRIEND";
"OLB_LEAVEB";"       ";"-J--j";;"クリックすると前画面に戻ります.";"Click to return to the previous screen.";
"OLB_LEAVET";"       ";"-J--j";;"ロビー退出";"LEAVE LOBBY";
"OLB_LNCHB";"        ";"-J--j";;"クリックすると戦闘を開始します.";"Click to start the game.";
"OLB_LNCHE";"        ";"-J--j";;"参加者全員の準備完了を確認するべきです.";"You should make sure everybody is ready first.";
"OLB_LNCHT";"        ";"-J--j";;"戦闘開始";"LAUNCH GAME";
"OLB_MXTIMB";"       ";"-J--j";;"誰一人勝利ポイントを達成できない時のゲーム時間を設定します.";"Set the maximum duration of the game if no-one reaches the Victory Point limit.";
"OLB_MXTIMT";"       ";"-J--j";;"制限時間";"TIME LIMIT";
"OLB_OPSTNB";"       ";"-J--j";;"デフォルト設定は「枢軸国vs連合国」で,どちらも自由に設定することが出来ます.";"Default OPPOSITION setting is 'AXIS vs ALLIES', but you can also set the game to pit Allied or Axis divisions against each other.";
"OLB_OPSTNT";"       ";"-J--j";;"対抗";"OPPOSITION";
"OLB_STRPOB";"       ";"-J-pj";;"それぞれのプレイヤーがゲーム開始時に持っている,部隊配置に使用する徴発ポイント数. ";"Set the number of Requisition Points each player will start the game with for initial deployment.";
"OLB_STRPOE";"       ";"-J-pj";;"デフォルト設定は500";"Default setting is 500.";
"OLB_STRPOT";"       ";"-J--j";;"開始時ポイント";"STARTING RESOURCES";
"OLB_SWTCHB";"       ";"-J--j";;"クリックすると現チームから他チームへ変更します.";"Click to switch from one team to another.";
"OLB_SWTCHE";"       ";"-J--j";;"当然AIもチーム変更できます.";"You can also switch AI from one team to another.";
"OLB_SWTCHT";"       ";"-J--j";;"チーム変更";"SWITCH TEAM";
"OLB_VICPOB";"       ";"-J--j";;"即時にゲームの勝敗が喫する勝利ポイント数を設定する.";"Set the Victory Points limit to instantly win the game.";
"OLB_VICPOE";"       ";"-J--j";;"制限時間満了迄に,双方とも勝利ポイントが勝利条件に満たない時は,より勝利ポイントの多い方が勝ちとなります.";"If no side has reached this limit by the end of the timer, the winner is the one with the more Victory Points.";
"OLB_VICPOT";"       ";"-J--j";;"勝利条件";"VICTORY CONDITION";
"OLB_VIEWDB";"       ";"-J--j";;"クリックして選択したプレイヤーデッキを開く.";"Click to open the selected player's DECK.";
"OLB_VIEWDE";"       ";"-J--j";;"デッキを見てもロビーからは退出されません.";"Viewing the DECK won't disconnect you from this lobby.";
"OLB_VIEWDT";"       ";"-J--j";;"デッキ 閲覧";"VIEW THE DECK";
"OLB_VISBTB";"       ";"-J--j";;"「パブリック」か「プライベート」かを選択せよ.";"Choose if your game is PUBLIC or PRIVATE.";
"OLB_VISBTE";"       ";"-J--j";;"「パブリック」はゲームにアクセスできる全員から見えます\n「プライベート」はゲームにアクセスできるフレンドからのみ見えます.";"PUBLIC games are visible and accessible by anyone.\nPRIVATE games are visible and accessible only by your friends.";
"OLB_VISBTT";"       ";"-J--j";;"サーバー種別";"VISIBILITY";
"OMD_DISCDB";"       ";"-J--j";;"クリックすると,この画面から抜ける前に全変更点を破棄します.";"Click to discard your modifications before exiting this screen.";
"OMD_DISCDT";"       ";"-J--j";;"変更点を破棄";"DISCARD CHANGES";
"OMD_SAVEDB";"       ";"-J--j";;"クリックすると,この画面から抜ける前に全変更点を保存します.";"Click to save your modifications before exiting this screen.";
"OMD_SAVEDT";"       ";"-J--j";;"変更点を保存";"SAVE CHANGES";
"OMD_SRNDCB";"       ";"-J--j";;"ゲームを終了しようとしています.\nあまりに早いゲーム終了は,コミュニティから嫌われますよ.";"This will end the game.\nQuitting too early in the game is frowned upon by the community.";
"OMD_SRNDCT";"       ";"-J--j";;"まさに今降伏しようとしている…";"YOU ARE ABOUT TO SURRENDER …";
"OOP_APPLYT";"       ";"----j";;"変更を反映";;
"OOP_BACKT";"        ";"----j";;"戻る";;
"OOP_RESETT";"       ";"----j";;"デフォルトに戻す";;
"OPEN_SLOT";"        ";"-J--j";;"開く";"Open";
"OP_NAME";"          ";"-J--j";;"作戦";"OPERATIONS";
"OP_PARAMS";"        ";"-J--j";;"ゲームパラメータ";"GAME PARAMETERS";
"OP_RESUME";"        ";"-J--j";;"摘要";"RESUME";
"October";"          ";"-J--j";;"10月";"October";
"PASCHANGED";"       ";"-J--j";;"パスワードは変更されました.";"Password changed.";
"PASCHANMSG";"       ";"-J-pj";;"パスワードの変更は成功しました.";"Your password has been successfully changed.";
"PAS_INVALI";"       ";"-J-pj";;"パスワードが不正です.";"Invalid password.";
"PAS_LONG";"         ";"-J-pj";;"パスワードが長すぎます.";"Password too long.";
"PAS_MATCH";"        ";"-J-pj";;"入力した２つのパスワートが一致しません.";"The passwords you entered do not match. Both passwords must be the same.";
"PAS_SHORT";"        ";"-J-pj";;"パスワードが短すぎます.";"Password too short.";
"PGRACE_MSG";"       ";"-J-pj";;"第6空挺師団のエース ”John Howard”をアンロックした\n楽しんでほしい";"You have unlocked the Ace 'John Howard' for the 6th Airborne Division.\nHave fun!";
"PL_InGame";"        ";"-J--j";;"ゲーム中";"In game";
"PL_InMenu";"        ";"-J--j";;"メニュー画面";"In menu";
"PL_InSess";"        ";"----j";;"In session";;
"PL_NOTINCG";"       ";"----j";;"In another game";;
"PL_Offline";"       ";"-J--j";;"オフライン";"Offline";
"PL_RESOPP";"        ";"-J--j";;"敵軍の為に予約済み";"RESERVED FOR OPPONENT";
"PL_RESTEAM";"       ";"-J--j";;"味方の為に予約済み";"RESERVED FOR TEAMMATE";
"PL_Watch";"         ";"-J--j";;"オブザーバー";"Spectating game";
"PREQFRIEND";"       ";"-J--j";;"フレンド依頼を保留しています.";"You have pending friend requests.";
"QUIT_WARN";"        ";"-J--j";;"未保存の編集途中のデータは全て失われます.";"All your unsaved progress will be lost.";
"RANKG_ELAP";"       ";"-J--j";;"経過時間";"Elapsed time";
"RANKG_FND";"        ";"-J--j";;"ゲーム発見! 起動中 %1秒";"Game Found! Launching in %1s";
"RANKG_SEAR";"       ";"-J--j";;"ランクマッチを検索中 - %1";"Searching ranked game";
"READY";"            ";"-J--j";;"準備完了";"Ready";
"READY_SLOT";"       ";"-J--j";;"準備完了";"Ready";
"RECON";"            ";"-J--j";;"偵察";"RECON";
"RKA_BG_GAL";"       ";"-J--j";;"准将";"BrG";
"RKA_CAPTAI";"       ";"-J--j";;"大尉";"Capt";
"RKA_COLONE";"       ";"-J--j";;"大佐";"Col";
"RKA_CORPO";"        ";"-J--j";;"伍長";"Corp";
"RKA_F_MARS";"       ";"-J--j";;"元帥";"FM";
"RKA_GENERA";"       ";"-J--j";;"大将";"Gen";
"RKA_LTENAN";"       ";"-J--j";;"中尉";"1tLt";
"RKA_LT_CNE";"       ";"-J--j";;"中佐";"LCol";
"RKA_LT_GAL";"       ";"-J--j";;"中将";"LtG";
"RKA_MAJOR";"        ";"-J--j";;"少佐";"Maj";
"RKA_MJ_GAL";"       ";"-J--j";;"少将";"MajG";
"RKA_PRIVAT";"       ";"-J--j";;"二等兵";"Pvt";
"RKA_SERGNT";"       ";"-J--j";;"軍曹";"Sgt";
"RKA_SGT_MJ";"       ";"-J--j";;"曹長";"SgtM";
"RKA_SND_LN";"       ";"-J--j";;"少尉";"2dLt";
"RK_BG_GAL";"        ";"-J--j";;"准将";"Brigadier-General";
"RK_CAPTAIN";"       ";"-J--j";;"大尉";"Captain";
"RK_COLONEL";"       ";"-J--j";;"大佐";"Colonel";
"RK_CORPO";"         ";"-J--j";;"伍長";"Corporal";
"RK_F_MARSH";"       ";"-J--j";;"元帥";"Field Marshal";
"RK_GENERAL";"       ";"-J--j";;"大将";"General";
"RK_LTENANT";"       ";"-J--j";;"中尉";"Lieutenant";
"RK_LT_CNEL";"       ";"-J--j";;"中佐";"Lieutenant-Colonel";
"RK_LT_GAL";"        ";"-J--j";;"中将";"Lieutenant-General";
"RK_MAJOR";"         ";"-J--j";;"少佐";"Major";
"RK_MJ_GAL";"        ";"-J--j";;"少将";"Major-General";
"RK_PRIVATE";"       ";"-J--j";;"二等兵";"Private";
"RK_SERGNT";"        ";"-J--j";;"軍曹";"Sergeant";
"RK_SGT_MJR";"       ";"-J--j";;"曹長";"Sergeant Major";
"RK_SND_LNT";"       ";"-J--j";;"少尉";"2nd Lieutenant";
"RND_CUSDKA";"       ";"-J--j";;"ランダム 連合国 カスタム-戦闘群";"Random Allied Custom Battlegroup";
"RND_CUSDKX";"       ";"-J--j";;"ランダム 枢軸国 カスタム-戦闘群";"Random Axis Custom Battlegroup";
"RND_DKA";"          ";"-J--j";;"ランダム 連合国 戦闘群";"Random Allied Battlegroup";
"RND_DKX";"          ";"-J--j";;"ランダム 枢軸国 戦闘群";"Random Axis Battlegroup";
"RND_PREDKA";"       ";"-J--j";;"ランダム 連合国 既製-戦闘群";"Random Allied PreMade Battlegroup";
"RND_PREDKX";"       ";"-J--j";;"ランダム 枢軸国 既製-戦闘群";"Random Axis PreMade Battlegroup";
"ROOM_CFail";"       ";"-J--j";;"ゲームルームを作る事ができません";"Cannot create game room";
"RPLTI_OLD";"        ";"-J--j";;"リプレイをロード中...";"Loading replay...";
"RPL_OLDOUT";"       ";"-J--j";;"このリプレイは特別なビューワーが必要です.この操作は,時間が掛かりるので,サーバーから切断されると思われます.";"A special viewer is needed to launch this replay. This operation may takes some time and will disconnect you from this server.";
"RPL_RENOVR";"       ";"-J-pj";;"同名のリプライファイルが既に存在しています.";"A replay with that name already exists.";
"SAVE_OLD";"         ";"-J--j";;"セーブゲームをロード中...";"Loading save...";
"SAV_OLDOUT";"       ";"-J--j";;"このリプレイは特別なビューワーが必要です.この操作は,時間が掛かりるので,サーバーから切断されると思われます.";"A special viewer is needed to launch this save. This operation may takes some time and will disconnect you from this server.";
"SGP_CAMP";"         ";"-J--j";;"キャンペーン";"CAMPAIGN";
"SGP_CLOUD";"        ";"-J--j";;"クラウド";"CLOUD";
"SGP_CMPG";"         ";"-J--j";;"キャンペーン";"CAMPAIGN";
"SGP_COPY";"         ";"-J--j";;"コピー";"COPY";
"SGP_DATE";"         ";"-J--j";;"日付";"DATE";
"SGP_DELETE";"       ";"-J--j";;"削除";"DELETE";
"SGP_LAUNCH";"       ";"-J--j";;"起動";"LAUNCH";
"SGP_MAP";"          ";"-J--j";;"マップ";"MAP";
"SGP_MODE";"         ";"-J--j";;"モード";"MODE";
"SGP_NAME";"         ";"-J--j";;"名称";"NAME";
"SGP_NBSAV";"        ";"-J--j";;"セーブ数: %1";"Number of saves: %1";
"SGP_OP";"           ";"-J--j";;"作戦名";"OPERATION";
"SGP_RENAME";"       ";"-J--j";;"名称変更";"RENAME";
"SGP_RENOVR";"       ";"-J--j";;"同名のセーブファイルが既に存在しています.";"A Save with the same name already exists.";
"SGP_SKIR";"         ";"-J--j";;"スカーミッシュ";"SKIRMISH";
"SGP_TTLOAD";"       ";"-J--j";;"ロード";"LOAD";
"SGP_TTSAVE";"       ";"-J--j";;"セーブ";"SAVE";
"SGP_TUTO";"         ";"-J--j";;"チュートリアル";"TUTORIAL";
"SOLO_CAMP";"        ";"-J--j";;"ソロ キャンペーン";"SOLO CAMPAIGN";
"SP_CAMPXP";"        ";"-J--j";;"キャンペーン XP";"Campaign XP";
"SP_CMPGAM";"        ";"-J-pj";;"プレイ回数";"Campaigns played";
"SP_CMPNATO";"       ";"-J--j";;"連合国プレイ 回数";"Campaign played as ALLIES";
"SP_CMPPACT";"       ";"-J--j";;"枢軸国プレイ 回数";"Campaign played as AXIS";
"SP_CMPVIC";"        ";"-J--j";;"勝利数";"Victories";
"SP_FAVUNIT";"       ";"-J--j";;"お気に入りユニット";"FAVORITE UNITS";
"SP_FUAERI";"        ";"-J--j";;"航空機";"Aerial units";
"SP_FUART";"         ";"-J--j";;"砲";"Artillery units";
"SP_FUAT";"          ";"-J--j";;"対戦車";"Anti-tank units";
"SP_FUDCA";"         ";"-J--j";;"対空";"Anti-aircraft units";
"SP_FUINFA";"        ";"-J--j";;"歩兵";"Infantry units";
"SP_FURECO";"        ";"-J--j";;"偵察";"Recon units";
"SP_FUSUPP";"        ";"-J--j";;"支援";"Support units";
"SP_FUTANK";"        ";"-J--j";;"戦車";"Tank units";
"SP_LSTPLY";"        ";"-J--j";;"最終プレイ日時";"Last game played";
"SP_LVL";"           ";"-J--j";;"レベル";"LEVEL";
"SP_MLTDEF";"        ";"-J--j";;"敗北数";"Defeats";
"SP_MLTDRA";"        ";"-J--j";;"引き分け回数";"Draws";
"SP_MLTGAM";"        ";"-J--j";;"マルチプレイヤーゲーム回数";"Multiplayer games";
"SP_MLTNATO";"       ";"-J--j";;"連合国プレイ 回数";"Games with ALLIES";
"SP_MLTPACT";"       ";"-J--j";;"枢軸国プレイ 回数";"Games with AXIS";
"SP_MLTRAT";"        ";"-J--j";;"勝率";"Victory Ratio";
"SP_MLTVIC";"        ";"-J--j";;"勝利数";"Victories";
"SP_NEXTLVL";"       ";"-J--j";;"次のレベルまで残り";"Next level in";
"SP_NORMXP";"        ";"-J--j";;"マルチプレイヤー XP";"Multiplayer XP";
"SP_OVERANK";"       ";"-J--j";;"全体順位";"Overall ranking";
"SP_PLYCAMP";"       ";"-J--j";;"キャンペーン";"Campaign";
"SP_PLYCMP";"        ";"-J--j";;"キャンペーン";"CAMPAIGN";
"SP_PLYGRA";"        ";"-J--j";;"階級";"Grade";
"SP_PLYLVL";"        ";"-J--j";;"プレイヤーレベル";"Player level";
"SP_PLYMENU";"       ";"-J--j";;"メニュー";"Menus";
"SP_PLYMLT";"        ";"-J--j";;"マルチプレイヤー";"MULTIPLAYER";
"SP_PLYMULT";"       ";"-J--j";;"マルチプレイヤーゲーム";"Multiplayer games";
"SP_PLYRANK";"       ";"-J--j";;"ランクマッチゲーム";"Ranked games";
"SP_PLYRNK";"        ";"-J--j";;"ランク";"RANK";
"SP_PLYSKIR";"       ";"-J--j";;"スカーミッシュゲーム";"Skirmish games";
"SP_PLYTUTO";"       ";"-J--j";;"チュートリアル";"Tutorial";
"SP_PLY_T";"         ";"-J--j";;"全体";"Total";
"SP_RANKXP";"        ";"-J--j";;"ランクマッチ XP";"Ranked XP";
"SP_RATDIF";"        ";"-J--j";;"現階級の評価点範囲";"Grade rating range";
"SP_RATING";"        ";"-J--j";;"評価点";"Rating";
"SP_RNKDEF";"        ";"-J--j";;"敗北数";"Defeats";
"SP_RNKDRA";"        ";"-J--j";;"引き分け回数";"Draws";
"SP_RNKGAM";"        ";"-J--j";;"ランクマッチゲーム";"Ranked Games";
"SP_RNKNATO";"       ";"-J--j";;"連合国プレイ 回数";"Ranked Games with ALLIES";
"SP_RNKNOG";"        ";"-J--j";;"一度もゲームしていない";"No game played";
"SP_RNKPACT";"       ";"-J--j";;"枢軸国プレイ 回数";"Ranked Games with AXIS";
"SP_RNKRAT";"        ";"-J--j";;"勝率";"Victory Ratio";
"SP_RNKVIC";"        ";"-J--j";;"勝利数";"Victories";
"SP_SKIRXP";"        ";"-J--j";;"スカーミッシュ XP";"Skirmish XP";
"SP_STATS";"         ";"-J--j";;"統計";"STATS";
"SP_TIMES";"         ";"-J-pj";;"プレイ時間";"PLAYING TIME";
"SP_TOTALXP";"       ";"-J--j";;"全体 XP";"Total XP";
"SP_TREND";"         ";"-J--j";;"傾向";"Trend";
"SP_TRENDOW";"       ";"-J--j";;"降下";"Down";
"SP_TRENDRA";"       ";"-J--j";;"横ばい";"Draw";
"SP_TRENDUP";"       ";"-J--j";;"上昇";"Up";
"SRV_AUTH";"         ";"-J--j";;"サーバー認証";"SERVER AUTHENTIFICATION";
"SRV_ERROR";"        ";"-J--j";;"サーバー内部エラー.";"Internal server error.";
"SRV_INVAL";"        ";"-J--j";;"パスワードが正しくない";"Invalid password";
"SRV_PASSW";"        ";"-J--j";;"パスワード";"Password";
"SR_CANCEL";"        ";"-J--j";;"戻る(back)";"BACK";
"SR_CANCEL2";"       ";"-J--j";;"キャンセル";"CANCEL";
"SR_DISCARD";"       ";"-J--j";;"破棄";"DISCARD";
"SR_MSGERRO";"       ";"-J--j";;"戦闘群が空";"Your deck is empty.";
"SR_MSGMODC";"       ";"-J--j";;"Mod(s)をダウンロード中.少々お待ちください.";"Mod(s) are downloading. Please wait.";
"SR_MSGMODD";"       ";"-J--j";;"Mod(s)のダウンロードが終わりました.OKをクリックすると再起動します.";"Mod(s) downloaded. Click OK to restart.";
"SR_MSGMODF";"       ";"-J--j";;"Mod(s)のダウンロードに失敗しました.ネットワーク環境を確認して,もう一度試してください.";"Mod(s) download failed. Verify your internet connection and retry.";
"SR_MSGMOUT";"       ";"-J-pj";;"MODは最後にダウンロードしてから有効期限が切れました.その結果不安定になります.\nこのMODの制作者ならが,再度アップロードして更新していただけますか";"This mod is outdated and can't be activated. You can request an update by contacting the author of the mod.";
"SR_MSGSAVE";"       ";"-J--j";;"戦闘群の変更が保留されています.保存しますか?";"You have pending changes in your battlegroup. Do you want to save them?";
"SR_MSGWAR2";"       ";"-J--j";;"戦闘群に保存されていない変更があります.そのまま続けますか?";"You have unsaved changes in your deck, do you want to continue?";
"SR_MSGWARN";"       ";"-J--j";;"まだユニットを追加することができますが,そのまま続けますか?";"You could add more units, do you want to continue?";
"SR_OK";"            ";"----j";;"OK";;
"SR_SAVE";"          ";"-J--j";;"保存";"SAVE";
"SR_TTLERRO";"       ";"-J--j";;"エラー";"ERROR";
"SR_TTLMOD";"        ";"----j";;"MOD REQUIREMENT";;
"SR_TTLSAVE";"       ";"-J--j";;"変更点を保存";"SAVE CHANGES";
"SR_TTLWARN";"       ";"-J--j";;"警告";"WARNING";
"September";"        ";"-J--j";;"9月";"September";
"Spectate";"         ";"-J---";;"観戦可能";"Allow spectating";
"TDmyHmFOR";"        ";"-J--j";;"%1/%2/%3 - %4時間 %5分";"%1/%2/%3 - %4h %5m";
"TEMP_ERR";"         ";"-J--j";;"サーバーエラー.のちほどもう一度試してください.";"Server error. Try again later.";
"TIMEOUT";"          ";"-J--j";;"サーバーが時間内に応答を返してこない.";"The server hasn't responded in time.";
"TMINFORMAT";"       ";"-J--j";;"%1 分";"%1 min";
"TMSFORMAT";"        ";"-J--j";;"%1 分 %2 秒";"%1 min. %2 sec.";
"TUTO_HINT";"        ";"-J--j";;"小技・コツ";"GAME TIPS";
"TUTO_HNT1";"        ";"-J--j";;"ショートカットキー";"Shortcuts";
"TUTO_HNT2";"        ";"-J--j";;"ユーザーインターフェース";"User Interface";
"TUTO_HNT3";"        ";"-J--j";;"ゲーム 小技/コツ";"Gameplay Tips";
"TUTO_HNT4";"        ";"-J--j";;"戦術的 小技/コツ";"Tactical Tips";
"TUTO_HNT5";"        ";"-J--j";;"ヒント 5";"Hint 5";
"TUTO_LIST";"        ";"-J--j";;"ブートキャンプ";"BOOT CAMP";
"T_ACCASK";"         ";"-J--j";;"識別";"Identification";
"T_ADVVID";"         ";"-J--j";;"より高度なビデオ設定";"ADVANCED VIDEO";
"T_ASKOVER";"        ";"-J-pj";;"ショートカットを上書き ?";"OVERRIDE SHORTCUT?";
"T_ASetFail";"       ";"-J--j";;"自動設定に失敗";"AutoSettings Failed";
"T_AVATAR";"         ";"----j";;"AVATAR";;
"T_AutoSet";"        ";"-J--j";;"自動設定";"AutoSettings";
"T_BRDCSTFB";"       ";"----j";;"Broadcast forbidden";;
"T_CHANGET";"        ";"----j";;"Team Activation Failed";;
"T_CHGLOGIN";"       ";"----j";;"Recover Login";;
"T_CHGPASS";"        ";"-J--j";;"パスワード変更";"Change Password";
"T_CHGPSUDO";"       ";"-J--j";;"ハンドルネーム変更";"CHANGE NICKNAME";
"T_CHGSESS";"        ";"-J-pj";;"ゲームを離れる";"Load Game";
"T_CONNECT";"        ";"-J--j";;"ようこそ STEEL DIVISION へ";"WELCOME TO STEEL DIVISION";
"T_CREAT";"          ";"-J-pj";;"チーム作成失敗";"Failed to create team";
"T_CrAcc";"          ";"----j";;"Create Paradox Account";;
"T_DECKVIEW";"       ";"-J--j";;"戦闘群 概略";"BATTLEGROUP OVERVIEW";
"T_DLC_NEED";"       ";"-J--j";;"DLCが無い";"DLC is missing";
"T_DLC_NEW";"        ";"-J--j";;"新DLCが存在";"New DLC available";
"T_DLMOD";"          ";"-J--j";;"足りないMODをダウンロード";"Download missing mods";
"T_DLMODERR";"       ";"-J--j";;"ダウンロード失敗";"Download Failed";
"T_DLMODIMP";"       ";"-J--j";;"不正なMOD";"Invalid mods";
"T_FPASSWD";"        ";"-J--j";;"パスワードを忘れた";"Forgot password";
"T_FRDDEL";"         ";"-J-pj";;"フレンドを削除 ?";"DELETE FRIEND?";
"T_FRDJOIN";"        ";"-J-pj";;"ゲームに参加 ?";"Join this game?";
"T_FRIENDS";"        ";"-J--j";;"フレンド";"FRIENDS";
"T_FRREC";"          ";"-J--j";;"リクエストを受信した";"Received request";
"T_FRSENT";"         ";"-J--j";;"リクエストを送信した";"Sent request";
"T_FULL";"           ";"-J--j";;"満員";"Session full";
"T_HOST";"           ";"-J--j";;"ホストゲーム";"Host game";
"T_INVFAIL";"        ";"-J--j";;"招待失敗";"Invitation failed.";
"T_INVITE";"         ";"-J--j";;"フレンドを招待";"Invite Friends";
"T_LDB";"            ";"-J--j";;"順位表";"LEADERBOARD";
"T_LEAVETF";"        ";"-J--j";;"チームを離れるのに失敗";"Leave Team Failed";
"T_LEVEL";"          ";"----j";;"LEVEL";;
"T_LEVELUP";"        ";"---pj";;"LEVEL UP ";"LEVEL UP";
"T_LINKACC";"        ";"----j";;"Link Eugen Account";;
"T_LINKACCP";"       ";"----j";;"Link Paradox Account";;
"T_LOBBY";"          ";"-J--j";;"ロビー";"LOBBY";
"T_MODCAMP";"        ";"-J--j";;"警告";"Warning";
"T_MODCENT";"        ";"-J--j";;"MODセンター";"MOD CENTER";
"T_MODDTERR";"       ";"-J--j";;"エラー";"Error";
"T_NAME";"           ";"-J--j";;"名称";"NAME";
"T_OPTIONS";"        ";"-J--j";;"オプション";"OPTIONS";
"T_PROFCOR";"        ";"-J--j";;"プロファイル要求";"Profile requested";
"T_PROFSYNC";"       ";"-J--j";;"プロファイル同期";"Profile synchronizing";
"T_RANK";"           ";"-J--j";;"階級";"RANK";
"T_RANKED";"         ";"-J--j";;"ランクマッチ";"RANKED GAME";
"T_REPLAY";"         ";"-J-pj";;"リプレイ";"REPLAYS";
"T_ROOMLIST";"       ";"-J--j";;"マルチプレイヤーセッション";"MULTIPLAYER SESSIONS";
"T_RPLRENA";"        ";"-J--j";;"選択したリプレイの名称変更";"Rename selected replay";
"T_RSTGAME";"        ";"-J--j";;"ゲーム再立ち上げ";"Relaunch Game";
"T_SENDING";"        ";"-J--j";;"送信";"SENDING";
"T_SETTING";"        ";"-J--j";;"設定";"SETTING";
"T_STATS";"          ";"-J--j";;"統計情報";"STATS";
"T_STATUS";"         ";"-J--j";;"ステータス";"STATUS";
"T_STPRKSCH";"       ";"-J--j";;"ランクマッチ検索中止";"Stop searching Ranked Game";
"T_TINVIT";"         ";"-J--j";;"招待失敗";"Invitation Failed";
"UNKNWN_ERR";"       ";"-J--j";;"不明なエラー";"Unknown error.";
"UNRAN_SEAR";"       ";"-J--j";;"クイックマッチを検索中 - %1";"Searching quick play game";
"VEHICLE";"          ";"-J--j";;"車両";"VEHICLE";
"Val_Always";"       ";"-J--j";;"常に'はい'";"Yes, Always";
"Val_No";"           ";"-J--j";;"いいえ";"No";
"Val_NoMaj";"        ";"-J--j";;"いいえ";"NO";
"Val_Yes";"          ";"-J--j";;"はい";"Yes";
"Val_YesMaj";"       ";"-J--j";;"はい";"YES";
"WARNING";"          ";"-J--j";;"警告";"WARNING";
"gameName";"         ";"-J---";;"ゲーム名称";"Game name";
"gameVisibi";"       ";"-J---";;"公開/非公開";"Game visibility";
"BBri_Vill1";"       ";"----j";;"To STE-MERE-EGLISE";"To STE-MÈRE-ÉGLISE";
"BBri_Vill2";"       ";"----j";;"LA FIERE";"LA FIÈRE";
"BBri_Vill3";"       ";"----j";;"To ST-SAUVEUR";;
"BBri_Vill4";"       ";"----j";;"LES HEUTES";;
"BRATTALLY";"        ";"-J--j";;"連合国側 攻撃";"Allied attack";
"BRATTAXIS";"        ";"-J--j";;"枢軸国側 攻撃";"Axis attack";
"Brea_Vill1";"       ";"----j";;"LA GAULE";;
"Brea_Vill2";"       ";"----j";;"CHEUX";;
"Brea_Vill3";"       ";"----j";;"LE HAUT-DU-BOSQ";;
"Brea_Vill4";"       ";"----j";;"To ODON RIVER";;
"Brea_Vill5";"       ";"----j";;"To CAEN";;
"Brea_Vill6";"       ";"----j";;"GRAINVILLE-SUR-ODON";;
"Brea_Vill7";"       ";"----j";;"RAURAY";;
